recording_name,,,,date_mdy,trial_time,decoy_type,number_birds,time_first_approach,num_approaches_<10,total_approach_10,num_approaches_<2,total_approach_2,num_approaches_on_tree,closest_approach,decoy_attacked,drum,vocal_agg
RBSA_13May19_RBSA-M,5,13,2019,5/13/2019,11:08,T,2,0:10,0,5,3,3,2,1,n,0,24
RBSA_14May19_RBSA-M,5,14,2019,5/14/2019,9:59,T,1,0:21,0,3,1,3,2,1,n,0,0
RBSA_14May19_RBSA-P,5,14,2019,5/14/2019,8:01,P,1,,0,5,1,5,4,1,n,0,2
RBSA_15May19_RBSA-P,5,15,2019,5/15/2019,7:18,P,3,0:53,0,4,1,4,3,5,n,0,6
RBSA_17May19_RBSA-M,5,17,2019,5/17/2019,8:05,T,2,0:24,2,2,0,0,0,10,n,0,3
RBSA_17May19_RBSA-P,5,17,2019,5/17/2019,10:09,P,2,,5,17,7,12,5,0.15,n,0,0
RBSA_18May19_RBSA-P,5,18,2019,5/18/2019,7:42,P,1,0:50,3,3,0,0,0,10,n,15,0
RBSA_20May19_RBSA-P,5,20,2019,5/20/2019,8:04,P,3,0:43,0,2,1,2,1,1,n,0,2
RBSA_21May19_RBSA-M,5,21,2019,5/21/2019,7:42,T,1,0:55,4,10,2,6,4,0.15,n,3,0
RBSA_23May19_RBSA-P,5,23,2019,5/23/2019,11:21,P,2,0:08,9,15,3,6,3,1,n,4,4
RBSA_24May19_RBSA-M,5,24,2019,5/24/2019,8:36,T,1,0:00,1,2,0,1,1,10,n,NA,NA
RBSA_24May19_RBSA-P,5,24,2019,5/24/2019,9:54,P,1,1:00,1,3,0,2,2,1,n,0,0
RBSA_26May19_RBSA-P,5,26,2019,5/26/2019,7:55,T,3,0:00,1,3,2,2,0,2,n,0,4
RBSA_28May19_RBSA-M_2,5,28,2019,5/28/2019,8:56,T,1,0:17,3,3,0,0,0,10,n,3,3
RBSA_28May19_RBSA-M,5,28,2019,5/28/2019,7:52,T,1,0:15,1,2,0,1,1,3,y,0,2
RBSA_31May19_RBSA-M,5,31,2019,5/31/2019,8:10,T,1,0:25,2,2,0,0,0,10,n,0,0
RBSA_12May20_RBSA-P,5,12,2020,5/12/2020,,P,2,0:19,5,5,0,0,0,5,n,7,13
RBSA_26May20_RBSA_P,5,26,2020,5/26/2020,6:51,P,1,8:32,0,4,1,4,3,0.3,n,0,2
Stanley_Park__Trial_2,5,26,2020,5/26/2020,7:21,T,1,4:13,2,4,1,2,1,5,n,0,2
Stanley_Park__Trial_3,5,26,2020,5/26/2020,7:48,P,2,0:17,7,15,5,8,3,5,n,2,18
Stanley_Park__Trial_4,5,26,2020,5/26/2020,8:58,T,1,7:10,1,5,3,4,1,0.15,n,0,8
Stanley_Park__Trial_5,5,27,2020,5/27/2020,6:49,P,3,0:15,1,1,0,0,0,7,n,3,9
Stanley_Park__Trial_6,5,27,2020,5/27/2020,7:25,T,1,0:48,3,5,0,2,2,10,n,27,8
Stanley_Park__Trial_7,5,27,2020,5/27/2020,8:09,P,0,0:00,0,0,0,0,0,0,n,0,0
Stanley_Park__Trial_8,5,27,2020,5/27/2020,8:48,P,2,0:55,6,11,1,5,4,2,n,0,10
Stanley_Park__Trial_9,5,27,2020,5/27/2020,9:48,T,1,4:21,0,3,3,3,0,2,n,3,0
Burnaby_Lake__Trial_10,5,28,2020,5/28/2020,8:08,P,2,0:11,1,5,1,4,3,0.05,n,12,2
Burnaby_Mountain__Trial_11,5,29,2020,5/29/2020,7:13,T,1,3:25,2,6,0,4,4,2.5,n,0,0
Burnaby_Mountain__Trial_12,5,29,2020,5/29/2020,8:34,P,2,0:09,2,2,0,0,0,5,n,0,6
Burnaby_Mountain__Trial_13,5,29,2020,5/29/2020,9:07,T,1,1:15,1,1,0,0,0,7,n,0,0
Light_House_Park__Trial_14,6,1,2020,6/1/2020,9:13,P,2,1:23,2,8,1,6,5,0.15,n,0,1
Seymour__Trial_15,6,3,2020,6/3/2020,6:32,T,3,1:03,3,7,4,4,0,7,n,0,8
Seymour__Trial_16,6,3,2020,6/3/2020,7:16,P,1,0:13,1,7,0,6,6,4,n,14,3
Seymour__Trial_17,6,3,2020,6/3/2020,7:49,T,1,1:05,1,5,1,4,3,2,n,0,0
Seymour__Trial_18,6,3,2020,6/3/2020,9:05,P,2,0:32,4,5,0,1,1,0.15,y,0,6
Seymour__Trial_19,6,3,2020,6/3/2020,9:43,T,2,0:34,5,9,1,4,3,0.3,n,3,4
Seymour__Trial_20,6,4,2020,6/4/2020,7:28,P,0,0:00,0,0,0,0,0,0,n,0,0
Cypress__Trial_21,6,5,2020,6/5/2020,6:49,P,3,0:20,8,8,0,0,0,3,n,3,20
Cypress__Trial_22,6,5,2020,6/5/2020,7:17,T,1,0:29,1,2,0,1,1,5,n,2,5
Cypress__Trial_23,6,5,2020,6/5/2020,8:06,P,2,0:18,6,12,0,6,6,1,y,2,19
Cypress__Trial_24,6,5,2020,6/5/2020,8:39,T,2,0:39,1,2,0,1,1,4.5,n,0,4
Cypress__Trial_25,6,5,2020,6/5/2020,9:21,P,2,0:20,0,5,0,5,5,0.5,n,18,8
Cypress__Trial_26,6,5,2020,6/5/2020,9:53,T,3,1:58,6,10,4,4,0,4.5,n,1,10
